iter	Passed	Remaining
0	20	20621
1	40	20191
2	59	19802
3	78	19503
4	95	18987
5	112	18570
6	130	18472
7	148	18374
8	166	18346
9	186	18482
10	204	18420
11	224	18474
12	244	18545
13	264	18651
14	285	18737
15	310	19108
16	334	19348
17	355	19418
18	376	19465
19	399	19571
20	418	19487
21	437	19436
22	454	19327
23	473	19258
24	493	19237
25	511	19160
26	530	19109
27	548	19054
28	567	18986
29	585	18945
30	605	18920
31	623	18868
32	640	18778
33	659	18733
34	678	18705
35	697	18668
36	716	18654
37	735	18624
38	754	18590
39	774	18580
40	791	18513
41	809	18471
42	827	18410
43	845	18368
44	862	18304
45	881	18276
46	899	18233
47	916	18175
48	934	18142
49	952	18105
50	970	18067
51	990	18055
52	1008	18014
53	1026	17990
54	1045	17963
55	1062	17909
56	1081	17889
57	1100	17873
58	1123	17913
59	1144	17927
60	1165	17935
61	1185	17937
62	1208	17969
63	1229	17984
64	1253	18028
65	1274	18038
66	1295	18036
67	1314	18021
68	1334	18008
69	1355	18004
70	1373	17973
71	1393	17954
72	1411	17923
73	1430	17899
74	1449	17875
75	1468	17856
76	1488	17837
77	1506	17812
78	1526	17792
79	1545	17767
80	1562	17732
81	1582	17712
82	1601	17696
83	1620	17666
84	1637	17631
85	1656	17608
86	1680	17637
87	1702	17642
88	1724	17655
89	1745	17651
90	1765	17636
91	1789	17661
92	1809	17643
93	1829	17629
94	1848	17605
95	1867	17583
96	1886	17560
97	1905	17537
98	1924	17510
99	1942	17483
100	1961	17456
101	1980	17433
102	1999	17411
103	2018	17388
104	2036	17356
105	2055	17336
106	2075	17323
107	2093	17294
108	2112	17265
109	2130	17235
110	2149	17215
111	2167	17187
112	2186	17159
113	2204	17136
114	2223	17112
115	2241	17081
116	2259	17053
117	2278	17033
118	2297	17010
119	2316	16987
120	2335	16966
121	2354	16946
122	2373	16920
123	2391	16892
124	2409	16864
125	2427	16840
126	2446	16818
127	2465	16794
128	2484	16774
129	2502	16746
130	2520	16719
131	2539	16701
132	2558	16676
133	2576	16650
134	2594	16621
135	2613	16606
136	2632	16583
137	2650	16558
138	2670	16541
139	2689	16519
140	2708	16497
141	2727	16479
142	2746	16462
143	2765	16441
144	2784	16420
145	2803	16397
146	2821	16372
147	2839	16348
148	2858	16324
149	2877	16304
150	2895	16281
151	2914	16259
152	2933	16239
153	2952	16216
154	2970	16194
155	2989	16176
156	3007	16150
157	3026	16131
158	3046	16113
159	3064	16091
160	3084	16075
161	3104	16058
162	3122	16034
163	3141	16013
164	3161	15998
165	3180	15977
166	3199	15956
167	3217	15935
168	3237	15916
169	3254	15889
170	3272	15866
171	3292	15849
172	3310	15824
173	3330	15811
174	3348	15787
175	3368	15768
176	3386	15747
177	3405	15726
178	3424	15705
179	3442	15683
180	3460	15660
181	3479	15638
182	3498	15617
183	3517	15597
184	3535	15577
185	3555	15561
186	3577	15552
187	3598	15544
188	3618	15528
189	3640	15520
190	3660	15504
191	3680	15490
192	3701	15475
193	3721	15461
194	3741	15446
195	3763	15436
196	3782	15419
197	3802	15404
198	3822	15385
199	3841	15367
200	3860	15345
201	3878	15323
202	3896	15299
203	3915	15277
204	3934	15257
205	3952	15234
206	3972	15217
207	3990	15193
208	4008	15171
209	4027	15152
210	4046	15129
211	4064	15109
212	4083	15087
213	4101	15064
214	4121	15048
215	4140	15029
216	4158	15005
217	4177	14984
218	4196	14964
219	4213	14940
220	4232	14920
221	4251	14899
222	4270	14878
223	4288	14856
224	4307	14836
225	4325	14814
226	4344	14795
227	4363	14775
228	4382	14753
229	4401	14735
230	4419	14714
231	4439	14695
232	4458	14676
233	4477	14655
234	4495	14634
235	4514	14615
236	4532	14593
237	4551	14572
238	4570	14553
239	4588	14531
240	4607	14510
241	4626	14491
242	4646	14475
243	4663	14449
244	4682	14430
245	4701	14411
246	4720	14391
247	4738	14368
248	4758	14350
249	4776	14330
250	4795	14310
251	4814	14289
252	4833	14269
253	4851	14249
254	4871	14230
255	4889	14211
256	4909	14193
257	4926	14169
258	4945	14150
259	4964	14129
260	4984	14111
261	5002	14091
262	5021	14072
263	5040	14052
264	5059	14032
265	5078	14013
266	5096	13991
267	5115	13971
268	5134	13952
269	5153	13934
270	5173	13915
271	5191	13894
272	5209	13873
273	5229	13855
274	5248	13836
275	5267	13816
276	5287	13800
277	5305	13778
278	5323	13757
279	5343	13739
280	5361	13719
281	5380	13698
282	5399	13680
283	5418	13660
284	5437	13641
285	5456	13621
286	5475	13603
287	5494	13584
288	5515	13568
289	5533	13547
290	5552	13528
291	5571	13508
292	5590	13490
293	5609	13470
294	5628	13451
295	5649	13435
296	5668	13417
297	5687	13397
298	5706	13378
299	5724	13357
300	5744	13339
301	5763	13321
302	5783	13302
303	5802	13284
304	5822	13266
305	5841	13247
306	5860	13228
307	5879	13209
308	5897	13188
309	5917	13171
310	5935	13150
311	5955	13131
312	5974	13112
313	5993	13093
314	6012	13074
315	6031	13055
316	6050	13035
317	6069	13016
318	6088	12997
319	6107	12978
320	6126	12959
321	6145	12940
322	6164	12920
323	6183	12901
324	6202	12882
325	6221	12863
326	6240	12843
327	6260	12826
328	6278	12805
329	6297	12785
330	6316	12766
331	6334	12745
332	6353	12726
333	6373	12708
334	6391	12688
335	6411	12669
336	6429	12648
337	6450	12633
338	6468	12613
339	6487	12593
340	6506	12574
341	6525	12554
342	6544	12535
343	6563	12516
344	6581	12495
345	6600	12476
346	6619	12457
347	6638	12437
348	6657	12417
349	6675	12398
350	6694	12377
351	6712	12357
352	6731	12337
353	6749	12317
354	6768	12297
355	6787	12277
356	6807	12261
357	6825	12240
358	6845	12222
359	6863	12202
360	6882	12182
361	6901	12162
362	6919	12142
363	6938	12122
364	6956	12102
365	6975	12082
366	6994	12063
367	7012	12043
368	7030	12022
369	7049	12003
370	7068	11983
371	7086	11963
372	7105	11943
373	7125	11925
374	7144	11906
375	7162	11886
376	7181	11867
377	7199	11847
378	7219	11829
379	7238	11810
380	7257	11791
381	7276	11772
382	7294	11751
383	7313	11732
384	7331	11712
385	7350	11692
386	7368	11672
387	7388	11653
388	7406	11633
389	7424	11612
390	7444	11594
391	7464	11578
392	7486	11563
393	7505	11544
394	7524	11524
395	7543	11505
396	7562	11486
397	7581	11467
398	7599	11447
399	7618	11428
400	7638	11410
401	7658	11391
402	7675	11371
403	7694	11351
404	7713	11332
405	7732	11312
406	7751	11293
407	7769	11272
408	7788	11253
409	7806	11234
410	7825	11215
411	7844	11194
412	7863	11175
413	7881	11155
414	7900	11136
415	7918	11115
416	7936	11095
417	7955	11076
418	7974	11057
419	7993	11038
420	8011	11018
421	8030	10999
422	8049	10979
423	8068	10960
424	8085	10939
425	8105	10920
426	8122	10899
427	8141	10880
428	8159	10860
429	8178	10841
430	8197	10822
431	8217	10803
432	8238	10787
433	8255	10766
434	8274	10747
435	8293	10727
436	8311	10708
437	8330	10688
438	8349	10670
439	8368	10650
440	8386	10630
441	8405	10611
442	8423	10590
443	8442	10571
444	8460	10551
445	8479	10532
446	8497	10512
447	8516	10493
448	8534	10473
449	8553	10454
450	8571	10434
451	8589	10414
452	8608	10395
453	8627	10375
454	8647	10357
455	8664	10336
456	8682	10316
457	8702	10298
458	8723	10282
459	8744	10265
460	8765	10249
461	8786	10232
462	8807	10214
463	8827	10196
464	8848	10180
465	8871	10165
466	8892	10148
467	8913	10132
468	8933	10114
469	8951	10094
470	8970	10075
471	8989	10055
472	9006	10035
473	9026	10016
474	9044	9996
475	9062	9976
476	9080	9956
477	9099	9937
478	9117	9917
479	9135	9897
480	9154	9877
481	9173	9859
482	9193	9840
483	9212	9821
484	9231	9802
485	9250	9783
486	9268	9763
487	9287	9744
488	9306	9725
489	9324	9705
490	9343	9686
491	9362	9666
492	9381	9647
493	9399	9627
494	9418	9608
495	9437	9589
496	9455	9569
497	9474	9550
498	9493	9531
499	9512	9512
500	9530	9492
501	9548	9472
502	9567	9453
503	9585	9433
504	9604	9414
505	9623	9395
506	9642	9375
507	9660	9355
508	9679	9337
509	9697	9317
510	9716	9298
511	9735	9279
512	9753	9259
513	9772	9240
514	9792	9222
515	9810	9201
516	9828	9182
517	9846	9162
518	9865	9143
519	9883	9123
520	9902	9104
521	9926	9089
522	9950	9074
523	9971	9058
524	9992	9041
525	10014	9024
526	10032	9004
527	10051	8985
528	10068	8964
529	10087	8945
530	10106	8926
531	10126	8907
532	10146	8890
533	10166	8871
534	10186	8853
535	10204	8834
536	10227	8817
537	10245	8798
538	10263	8778
539	10281	8758
540	10299	8738
541	10317	8718
542	10336	8699
543	10354	8679
544	10374	8660
545	10393	8642
546	10412	8623
547	10431	8604
548	10451	8585
549	10469	8565
550	10487	8546
551	10507	8527
552	10526	8508
553	10543	8488
554	10562	8468
555	10581	8449
556	10600	8430
557	10619	8411
558	10638	8393
559	10659	8375
560	10679	8356
561	10699	8339
562	10718	8319
563	10738	8301
564	10758	8283
565	10778	8264
566	10797	8245
567	10818	8227
568	10837	8208
569	10856	8189
570	10876	8171
571	10895	8152
572	10914	8133
573	10934	8115
574	10952	8095
575	10971	8076
576	10990	8057
577	11008	8037
578	11028	8019
579	11048	8000
580	11066	7980
581	11085	7961
582	11103	7942
583	11123	7923
584	11141	7903
585	11160	7884
586	11179	7865
587	11198	7846
588	11217	7827
589	11235	7808
590	11254	7788
591	11272	7768
592	11291	7750
593	11311	7731
594	11330	7712
595	11349	7693
596	11367	7673
597	11385	7654
598	11404	7634
599	11423	7615
600	11441	7596
601	11461	7577
602	11481	7558
603	11499	7539
604	11519	7521
605	11538	7502
606	11558	7483
607	11576	7463
608	11594	7444
609	11613	7424
610	11631	7405
611	11651	7386
612	11669	7367
613	11686	7346
614	11705	7327
615	11723	7308
616	11743	7289
617	11762	7270
618	11781	7251
619	11799	7231
620	11817	7212
621	11837	7193
622	11855	7173
623	11872	7154
624	11891	7134
625	11910	7115
626	11929	7096
627	11948	7077
628	11967	7058
629	11984	7038
630	12003	7019
631	12023	7000
632	12041	6981
633	12061	6962
634	12080	6943
635	12099	6924
636	12119	6906
637	12137	6886
638	12157	6868
639	12177	6849
640	12196	6830
641	12215	6811
642	12234	6792
643	12252	6773
644	12270	6753
645	12289	6734
646	12309	6715
647	12329	6697
648	12349	6678
649	12367	6659
650	12386	6640
651	12404	6620
652	12423	6601
653	12441	6582
654	12460	6563
655	12479	6544
656	12497	6524
657	12517	6505
658	12535	6486
659	12554	6467
660	12572	6448
661	12590	6428
